timestamps,TP9,AF7,AF8,TP10,Right AUX
1568080901.105,-16.602,15.625,48.340,68.359,20.020
1568080901.109,-21.973,18.066,43.457,64.453,46.387
1568080901.113,58.594,19.043,44.922,6.348,99.609
1568080901.117,77.637,20.508,46.875,4.395,62.012
1568080901.121,-1.953,24.414,41.992,62.500,13.184
1568080901.125,-26.367,22.949,35.645,83.008,23.438
1568080901.129,42.480,18.555,36.133,23.926,5.371
1568080901.133,75.195,20.020,40.039,0.977,10.742
1568080901.136,18.066,23.438,41.504,55.176,14.160
1568080901.140,-22.949,30.762,44.922,89.355,43.945
1568080901.144,38.086,30.762,40.039,36.621,85.449
1568080901.148,94.238,23.438,32.227,-13.672,18.066
1568080901.152,43.945,22.461,38.086,20.020,35.645
1568080901.156,-34.180,22.949,41.504,62.500,27.344
1568080901.160,-11.719,23.926,38.574,40.527,24.414
1568080901.164,67.871,22.461,38.086,-15.137,39.551
1568080901.168,63.477,25.391,31.738,-8.789,24.902
1568080901.172,-8.789,26.855,24.414,52.734,66.895
1568080901.175,-13.672,28.809,27.344,60.059,29.785
1568080901.179,60.059,32.227,29.785,0.488,-59.082
1568080901.183,71.777,31.738,23.926,-12.695,-41.992
1568080901.187,-11.230,25.879,24.902,41.992,0.000
1568080901.191,-54.199,23.926,28.320,64.453,7.812
1568080901.195,14.648,25.391,28.320,9.766,16.602
1568080901.199,59.082,21.973,32.715,-23.438,20.508
1568080901.203,-10.254,19.531,30.762,20.020,-5.371
1568080901.207,-64.453,21.973,27.344,69.824,-8.301
1568080901.211,-13.672,22.461,29.785,36.133,19.531
1568080901.215,52.734,22.461,37.598,-16.113,41.504
1568080901.218,24.414,23.926,36.621,14.648,32.715
1568080901.222,-33.691,22.461,32.227,62.988,32.227
1568080901.226,-1.465,22.949,35.645,43.945,29.785
1568080901.230,73.730,26.855,31.250,-13.672,20.508
1568080901.234,60.059,28.320,24.902,-5.859,35.156
1568080901.238,-12.695,27.832,24.414,56.641,37.109
1568080901.242,-22.461,26.855,27.344,63.477,13.672
1568080901.246,51.758,31.250,26.855,2.930,26.855
1568080901.250,77.148,32.715,27.344,-8.301,33.203
1568080901.254,17.090,31.738,35.156,48.828,-13.184
1568080901.258,-13.184,32.227,38.574,75.195,0.000
1568080901.261,39.062,20.508,32.227,23.926,68.359
1568080901.265,80.566,20.020,27.344,-12.207,54.688
1568080901.269,21.973,30.762,25.391,20.996,26.855
1568080901.273,-33.691,38.574,23.926,51.758,17.090
1568080901.277,20.996,40.039,24.414,25.391,-33.203
1568080901.281,102.539,39.062,23.438,-2.930,-1.953
1568080901.285,93.750,42.969,22.461,23.438,76.172
1568080901.289,29.297,40.527,28.320,73.730,51.270
1568080901.293,27.344,39.551,30.273,60.547,12.695
1568080901.297,87.891,42.480,24.902,0.000,34.180
1568080901.300,79.102,39.551,19.531,-0.977,18.555
1568080901.304,-8.789,38.086,22.949,55.176,40.039
1568080901.308,-37.109,43.945,27.344,71.289,61.035
1568080901.312,26.367,37.598,28.320,15.625,-25.879
1568080901.316,56.641,27.832,25.879,-5.859,-23.926
1568080901.320,-9.277,31.250,27.832,48.828,13.184
1568080901.324,-57.129,36.133,36.133,77.637,-1.953
1568080901.328,8.301,38.086,27.832,23.926,50.781
1568080901.332,58.105,35.156,17.578,-18.066,43.457
1568080901.336,0.977,29.785,21.973,22.461,3.906
1568080901.340,-57.617,29.785,24.902,70.801,39.062
1568080901.343,-23.438,27.344,26.367,45.410,36.621
1568080901.347,39.551,25.391,28.320,-3.906,0.488
1568080901.351,17.090,31.250,30.762,14.648,-47.363
1568080901.355,-49.805,31.738,36.133,76.660,-36.133
1568080901.359,-41.992,27.832,31.738,77.637,-16.602
1568080901.363,34.180,21.973,21.484,13.184,-1.953
1568080901.367,48.340,26.855,25.391,1.465,36.621
1568080901.371,-19.043,34.668,33.691,62.988,65.430
1568080901.375,-32.227,33.691,33.203,81.055,56.152
1568080901.379,53.711,34.180,31.250,19.043,73.730
1568080901.383,87.891,35.645,33.203,-7.324,98.145
1568080901.386,19.531,38.574,39.551,47.363,34.668
1568080901.390,-20.996,40.039,39.551,83.984,34.180
1568080901.394,35.645,34.668,34.180,40.039,31.738
1568080901.398,89.844,28.320,32.715,-2.930,12.695
1568080901.402,53.223,28.320,31.738,34.180,12.695
1568080901.406,-2.441,28.320,31.738,83.984,49.805
1568080901.410,9.766,25.391,31.738,56.641,63.965
1568080901.414,64.941,26.855,27.832,-1.465,17.578
1568080901.418,45.410,27.832,33.691,8.789,30.273
1568080901.422,-37.109,27.832,41.992,68.848,46.875
1568080901.425,-42.969,31.738,34.180,67.871,55.176
1568080901.429,32.715,30.762,21.484,4.883,58.594
1568080901.433,53.223,28.320,17.578,-2.930,-19.043
1568080901.437,-18.555,30.762,21.973,59.082,-16.602
1568080901.441,-54.688,35.156,20.508,78.125,89.844
1568080901.445,21.484,36.133,17.090,21.973,77.637
1568080901.449,69.824,31.250,28.809,3.906,29.785
1568080901.453,-8.789,28.320,38.574,40.527,20.020
1568080901.457,-73.730,28.809,32.715,64.453,51.758
