timestamps,TP9,AF7,AF8,TP10,Right AUX
1568081285.247,46.387,31.738,39.062,97.168,19.531
1568081285.251,50.781,30.762,38.086,75.684,41.504
1568081285.255,65.430,31.738,36.133,26.367,40.039
1568081285.259,63.965,36.133,37.109,34.180,59.082
1568081285.263,41.992,34.180,41.992,77.637,60.059
1568081285.267,38.574,34.668,41.504,80.078,38.086
1568081285.271,63.477,36.133,36.133,32.715,53.711
1568081285.274,71.289,31.250,29.785,18.555,78.613
1568081285.278,48.828,29.785,27.344,62.012,102.539
1568081285.282,33.691,32.227,31.250,83.496,79.590
1568081285.286,51.270,35.645,28.809,37.598,5.859
1568081285.290,67.871,34.180,22.949,10.742,15.137
1568081285.294,52.246,30.273,20.508,49.316,34.180
1568081285.298,39.062,30.273,27.344,84.473,78.613
1568081285.302,54.199,25.879,37.109,60.059,72.754
1568081285.306,69.336,24.902,37.109,20.020,43.457
1568081285.310,53.223,25.879,36.133,35.645,45.898
1568081285.314,27.344,24.414,33.691,75.195,14.160
1568081285.317,29.785,25.391,29.297,67.383,67.871
1568081285.321,54.688,26.855,31.738,21.973,38.086
1568081285.325,57.617,28.320,35.156,21.484,18.066
1568081285.329,34.668,29.785,35.156,68.359,58.105
1568081285.333,25.879,31.250,31.250,74.219,12.207
1568081285.337,44.434,31.250,27.832,27.832,-41.504
1568081285.341,53.711,30.762,27.832,15.137,25.391
1568081285.345,32.227,30.762,31.250,59.082,84.961
1568081285.349,18.066,26.855,31.738,78.613,79.102
1568081285.353,35.156,20.996,21.973,35.156,49.316
1568081285.357,53.711,21.484,20.020,8.301,7.324
1568081285.360,38.086,23.926,24.414,36.621,25.391
1568081285.364,18.555,20.508,28.809,65.430,34.668
1568081285.368,31.738,22.949,31.250,37.598,15.625
1568081285.372,55.664,30.273,25.879,-1.953,17.090
1568081285.376,50.293,33.203,24.414,15.137,-3.906
1568081285.380,26.367,37.598,32.715,55.664,-1.953
1568081285.384,27.344,38.574,29.297,49.316,7.812
1568081285.388,49.316,33.203,21.973,3.418,48.340
1568081285.392,52.734,30.762,25.391,3.418,47.852
1568081285.396,31.738,32.227,28.320,51.270,6.836
1568081285.399,24.902,33.203,26.367,62.012,45.410
1568081285.403,49.316,32.227,28.320,20.996,59.082
1568081285.407,60.059,28.320,35.645,2.441,59.570
1568081285.411,39.062,32.227,38.574,39.551,-0.488
1568081285.415,21.973,34.668,33.203,63.965,-0.488
1568081285.419,39.062,34.180,26.855,24.902,79.102
1568081285.423,58.105,33.691,21.973,-6.836,77.637
1568081285.427,35.645,27.344,21.484,20.508,37.109
1568081285.431,13.672,28.809,27.344,61.523,49.805
1568081285.435,24.414,32.715,31.250,43.945,36.621
1568081285.439,44.922,30.273,32.227,-0.488,12.207
1568081285.442,38.086,30.273,33.203,8.789,43.945
1568081285.446,18.555,29.785,31.250,46.875,15.137
1568081285.450,16.602,30.762,28.320,45.410,36.621
1568081285.454,36.133,34.668,24.414,-1.465,62.012
1568081285.458,43.457,32.715,25.879,-8.301,-18.555
1568081285.462,23.438,26.855,32.715,37.109,-30.762
1568081285.466,19.043,30.273,29.297,51.758,-22.461
1568081285.470,41.016,33.203,22.461,5.859,16.113
1568081285.474,56.152,34.668,24.902,-13.672,37.598
1568081285.478,39.062,34.668,27.344,32.227,11.230
1568081285.482,21.484,32.227,25.879,63.477,23.926
1568081285.485,34.180,29.297,20.508,27.832,-2.930
1568081285.489,47.852,28.809,17.090,-4.395,-31.250
1568081285.493,32.227,31.250,22.461,19.531,21.973
1568081285.497,11.719,33.691,28.809,55.176,46.875
1568081285.501,18.066,27.832,29.785,41.992,51.270
1568081285.505,41.016,27.832,29.785,-0.488,60.059
1568081285.509,41.504,34.668,28.809,5.859,-18.555
1568081285.513,23.438,33.691,28.320,50.293,-9.766
1568081285.517,20.020,31.738,26.855,55.664,109.863
1568081285.521,39.062,31.738,29.785,12.695,81.543
1568081285.524,48.828,32.227,33.691,0.488,24.902
1568081285.528,32.227,35.645,31.738,44.434,36.133
1568081285.532,21.973,39.551,34.180,71.289,-7.324
1568081285.536,35.156,37.109,29.785,29.297,5.859
1568081285.540,48.828,34.180,25.391,-2.930,32.715
1568081285.544,36.133,36.621,32.715,31.250,10.254
1568081285.548,16.602,33.203,39.062,64.453,-24.902
1568081285.552,24.902,27.344,34.180,36.621,-3.418
1568081285.556,45.410,28.320,26.855,-0.488,10.254
1568081285.560,37.598,31.738,28.320,15.625,6.348
1568081285.564,12.695,35.645,31.738,55.176,64.453
1568081285.567,17.090,37.109,27.832,47.852,27.344
1568081285.571,47.852,37.598,21.973,1.953,-18.066
1568081285.575,50.781,34.668,24.414,0.000,16.113
1568081285.579,28.320,35.156,29.297,49.316,44.434
1568081285.583,29.297,40.527,28.320,66.895,83.008
1568081285.587,51.758,37.109,23.438,21.484,20.020
1568081285.591,57.129,30.273,25.879,0.488,-55.664
1568081285.595,35.645,28.320,36.621,46.875,-16.113
1568081285.599,25.391,29.785,38.574,82.031,39.551
1568081285.603,44.922,32.715,35.156,41.504,35.156
1568081285.607,58.105,34.180,36.133,9.277,-10.742
1568081285.610,44.434,35.645,41.016,46.387,31.738
1568081285.614,25.391,36.133,39.551,83.496,44.922
1568081285.618,31.738,33.691,32.227,57.129,26.367
1568081285.622,48.828,35.156,27.832,13.672,79.102
1568081285.626,41.504,38.574,24.902,22.949,74.219
1568081285.630,15.625,35.645,25.879,58.594,52.246
1568081285.634,14.648,34.180,30.273,57.129,60.059
1568081285.638,41.016,35.156,29.785,17.578,54.199
1568081285.642,39.062,31.250,31.250,10.254,35.156
1568081285.646,12.695,29.785,39.551,51.758,61.523
1568081285.649,14.648,33.691,42.480,66.406,93.262
1568081285.653,41.016,34.180,36.133,23.926,-9.766
1568081285.657,50.781,31.250,31.250,5.859,-47.852
1568081285.661,34.668,33.203,29.785,42.480,28.809
1568081285.665,21.484,35.645,30.273,69.824,16.602
1568081285.669,36.621,36.133,27.832,36.133,35.156
1568081285.673,52.246,36.621,28.320,2.441,72.266
1568081285.677,41.992,34.668,35.156,28.809,41.992
1568081285.681,24.414,32.227,37.598,66.895,37.598
1568081285.685,36.621,34.668,36.621,55.176,52.246
1568081285.689,67.383,39.551,31.250,16.602,-4.395
1568081285.692,52.734,38.086,27.344,14.648,27.344
1568081285.696,15.625,35.645,26.367,48.828,47.363
1568081285.700,18.555,35.645,23.926,55.176,10.254
1568081285.704,41.016,31.738,28.320,13.672,14.160
1568081285.708,41.016,34.180,33.203,2.930,8.301
1568081285.712,21.973,36.621,38.086,46.387,41.016
1568081285.716,12.207,35.156,41.992,69.824,40.039
1568081285.720,28.320,33.203,36.621,23.926,34.668
1568081285.724,44.434,29.785,35.156,-2.441,50.293
1568081285.728,29.785,35.156,33.203,38.574,18.066
1568081285.732,13.672,40.039,28.320,66.895,26.367
1568081285.735,28.809,38.574,28.320,33.203,2.930
1568081285.739,49.316,39.551,26.367,-4.883,41.504
1568081285.743,37.598,37.109,27.832,14.648,68.359
1568081285.747,14.648,35.156,36.621,58.105,27.832
1568081285.751,23.926,38.574,40.039,51.758,0.000
1568081285.755,48.828,36.621,35.645,9.277,13.672
1568081285.759,46.875,33.203,29.785,7.812,-35.645
1568081285.763,23.926,34.668,28.320,50.781,-42.480
1568081285.767,18.555,32.227,32.227,61.523,42.480
1568081285.771,43.945,34.180,33.691,17.090,-0.977
1568081285.774,52.734,35.645,30.273,-0.977,-32.227
1568081285.778,33.203,37.598,33.691,39.551,35.156
1568081285.782,21.973,41.504,43.945,62.012,50.781
1568081285.786,39.062,39.062,42.480,20.508,55.664
1568081285.790,49.805,38.086,38.086,-4.883,104.980
1568081285.794,31.250,36.133,34.668,30.762,66.895
1568081285.798,16.602,29.785,25.879,62.988,55.664
1568081285.802,30.762,30.762,22.949,40.039,41.992
