timestamps,TP9,AF7,AF8,TP10,Right AUX
1568081220.255,42.480,27.832,37.598,57.129,33.203
1568081220.259,44.922,26.367,42.480,28.320,34.668
1568081220.263,33.203,25.879,40.039,45.410,55.664
1568081220.267,31.250,27.832,41.992,78.125,52.734
1568081220.271,37.598,25.879,43.457,66.406,30.273
1568081220.274,36.621,25.391,32.715,25.391,24.414
1568081220.278,32.227,26.367,26.855,21.484,24.902
1568081220.282,27.344,24.414,27.832,53.223,22.949
1568081220.286,25.879,28.320,24.414,55.664,39.551
1568081220.290,34.180,31.738,26.367,19.043,1.953
1568081220.294,37.598,28.809,27.344,9.766,-39.551
1568081220.298,32.715,27.344,24.414,43.945,10.742
1568081220.302,38.574,31.250,21.484,57.617,51.270
1568081220.306,44.922,32.227,19.043,21.973,34.180
1568081220.310,43.945,31.250,24.414,3.906,-32.715
1568081220.314,37.109,34.668,27.344,36.133,-23.438
1568081220.317,28.809,33.203,26.855,56.641,24.902
1568081220.321,25.879,26.367,28.320,31.738,43.457
1568081220.325,28.809,22.949,30.762,10.254,47.363
1568081220.329,21.484,18.066,36.133,26.367,6.836
1568081220.333,23.438,18.066,33.691,53.711,-5.371
1568081220.337,31.738,22.949,32.227,50.781,62.988
1568081220.341,35.645,22.949,34.668,20.508,43.457
1568081220.345,39.551,29.297,33.203,20.996,-3.418
1568081220.349,40.039,32.227,35.156,57.129,30.762
1568081220.353,43.457,29.297,35.156,70.801,-47.852
1568081220.357,42.480,24.902,30.273,35.156,-29.785
1568081220.360,39.062,24.414,33.691,20.020,48.828
1568081220.364,39.551,28.320,32.227,51.270,55.664
1568081220.368,42.969,28.809,26.367,63.965,53.223
1568081220.372,39.062,28.320,23.438,31.250,11.230
1568081220.376,38.574,26.855,26.367,7.812,-3.418
1568081220.380,37.109,28.320,33.691,31.250,-0.488
1568081220.384,36.621,33.691,36.621,58.594,53.711
1568081220.388,47.852,36.133,31.250,42.480,62.500
1568081220.392,54.688,33.691,27.832,11.719,-14.648
1568081220.396,53.223,34.180,31.250,22.949,-20.996
1568081220.399,48.828,35.645,32.715,55.664,0.488
1568081220.403,51.270,34.180,29.785,54.199,-13.672
1568081220.407,54.688,31.250,30.273,21.973,-21.973
1568081220.411,49.805,27.832,26.367,20.020,21.973
1568081220.415,40.039,27.344,25.391,54.199,93.750
1568081220.419,32.715,28.809,28.320,56.641,68.848
1568081220.423,36.133,31.250,26.855,22.461,1.953
1568081220.427,38.086,33.203,29.297,10.254,18.555
1568081220.431,32.715,33.203,35.645,41.504,72.754
1568081220.435,35.645,33.691,33.691,63.965,27.344
1568081220.439,35.645,31.250,25.879,32.227,-21.484
1568081220.442,34.668,28.320,23.926,4.395,10.254
1568081220.446,32.715,23.926,27.832,29.297,75.684
1568081220.450,28.320,24.902,30.762,60.547,83.984
1568081220.454,37.109,32.715,30.762,46.387,60.547
1568081220.458,41.504,32.227,27.832,11.719,53.711
1568081220.462,32.715,29.297,25.879,20.508,9.766
1568081220.466,31.738,33.691,28.320,56.641,-7.324
1568081220.470,35.645,34.180,28.320,53.223,25.879
1568081220.474,34.668,24.414,23.926,15.137,10.254
1568081220.478,32.715,24.414,23.926,14.648,14.648
1568081220.482,25.391,27.344,32.227,51.758,92.285
1568081220.485,26.855,26.367,34.180,58.105,89.355
1568081220.489,31.250,29.297,28.320,24.414,33.203
1568081220.493,34.668,32.227,26.855,13.672,24.414
1568081220.497,32.227,33.203,29.785,44.434,43.457
1568081220.501,33.203,34.668,35.156,65.430,49.805
1568081220.505,41.016,33.203,40.039,41.992,21.484
1568081220.509,35.645,28.320,33.203,13.672,43.945
1568081220.513,30.762,23.926,27.344,31.250,47.852
1568081220.517,35.156,23.438,26.855,61.523,13.184
1568081220.521,32.715,21.973,20.996,42.480,73.730
1568081220.524,38.086,24.902,19.531,8.301,53.711
1568081220.528,34.668,31.738,20.508,17.090,-17.578
1568081220.532,27.832,31.738,22.949,47.852,-8.789
1568081220.536,33.691,28.320,26.855,46.875,6.348
1568081220.540,38.574,29.785,23.926,14.160,39.551
1568081220.544,32.227,28.809,25.879,9.277,87.402
1568081220.548,20.508,28.809,32.715,45.410,80.566
1568081220.552,24.902,26.367,34.180,61.523,78.125
1568081220.556,33.203,23.926,32.715,30.273,25.879
1568081220.560,37.598,30.273,32.715,15.137,-20.020
1568081220.564,37.598,31.738,32.715,40.527,-33.691
1568081220.567,36.133,25.879,26.367,59.570,3.906
1568081220.571,41.016,25.391,27.344,38.574,39.551
1568081220.575,44.434,28.320,30.273,1.953,-20.020
1568081220.579,41.504,33.691,28.809,18.555,36.621
1568081220.583,42.969,33.691,34.180,60.059,41.504
1568081220.587,48.828,32.227,34.180,51.270,-24.414
1568081220.591,52.246,29.297,23.926,9.277,62.988
1568081220.595,48.828,29.297,21.973,9.277,71.777
1568081220.599,42.480,29.297,25.879,44.434,51.270
1568081220.603,49.316,29.785,29.785,52.246,96.680
