timestamps,TP9,AF7,AF8,TP10,Right AUX
1568081171.411,-52.246,33.691,29.785,47.852,21.973
1568081171.415,-61.035,30.762,31.738,49.316,56.152
1568081171.419,-40.527,29.297,22.949,8.789,9.277
1568081171.423,-35.645,28.320,18.066,-1.953,-23.926
1568081171.427,-56.152,27.344,22.461,35.645,86.914
1568081171.431,-62.988,23.438,22.461,55.176,39.551
1568081171.435,-41.504,22.949,20.508,20.996,-32.227
1568081171.439,-19.043,25.391,31.738,6.348,72.266
1568081171.442,-31.250,29.785,34.668,39.551,92.285
1568081171.446,-50.293,32.227,27.344,65.918,32.227
1568081171.450,-37.598,36.133,21.484,36.621,26.855
1568081171.454,-18.555,29.785,25.391,-0.977,-14.648
1568081171.458,-31.738,19.043,28.809,15.625,25.391
1568081171.462,-44.434,22.949,28.809,51.758,46.875
1568081171.466,-29.297,28.809,28.809,42.480,18.066
1568081171.470,-6.348,29.785,27.832,0.977,68.359
1568081171.474,-2.441,26.855,29.785,1.953,55.176
1568081171.478,-23.926,22.949,26.367,45.410,67.871
1568081171.482,-30.762,25.391,21.484,58.594,70.801
1568081171.485,-7.324,30.762,25.391,18.066,28.320
1568081171.489,14.160,32.227,26.367,3.418,0.000
1568081171.493,0.488,27.832,31.738,44.922,20.996
1568081171.497,-17.090,21.973,32.715,66.406,-4.883
1568081171.501,-12.207,21.973,19.043,24.902,22.949
1568081171.505,-13.672,25.879,11.719,-3.418,28.320
1568081171.509,-49.316,22.949,17.578,27.344,7.324
1568081171.513,-85.449,26.367,27.832,62.012,66.406
1568081171.517,-88.379,29.785,31.738,39.551,34.668
1568081171.521,-76.660,26.367,30.762,-1.465,6.348
1568081171.525,-85.938,28.320,31.738,14.160,-2.441
1568081171.528,-122.559,30.273,34.180,52.246,-20.020
1568081171.532,-134.766,29.297,33.691,49.805,18.555
1568081171.536,-107.910,24.902,21.973,8.301,23.438
1568081171.540,-109.375,19.043,18.555,3.418,52.246
1568081171.544,-139.160,23.926,25.879,44.922,104.004
1568081171.548,-143.555,31.738,23.926,57.617,62.988
1568081171.552,-136.230,32.227,20.508,14.648,27.832
1568081171.556,-133.789,28.320,24.902,-4.883,26.367
1568081171.560,-167.969,29.297,31.250,33.691,58.594
1568081171.564,-225.586,31.738,34.180,61.035,70.801
1568081171.567,-265.625,26.367,34.180,28.809,44.922
1568081171.571,-289.551,25.879,31.250,4.883,58.105
1568081171.575,-326.172,26.367,31.738,32.715,22.949
1568081171.579,-364.258,25.879,36.133,63.477,-8.789
1568081171.583,-362.305,28.809,30.273,48.828,-2.930
1568081171.587,-360.352,23.926,17.578,12.695,7.324
1568081171.591,-387.207,21.484,18.555,23.438,52.734
1568081171.595,-410.645,26.855,24.414,59.570,0.488
1568081171.599,-414.551,30.273,26.855,58.594,-19.043
1568081171.603,-408.691,30.273,26.855,17.578,47.363
1568081171.607,-424.805,30.762,26.855,19.043,7.812
1568081171.610,-465.820,31.250,26.855,62.012,-15.625
1568081171.614,-488.281,28.809,26.367,67.871,9.277
1568081171.618,-477.051,29.297,29.785,24.414,1.465
1568081171.622,-479.980,27.344,29.297,1.953,7.812
1568081171.626,-532.227,26.367,26.855,36.621,-10.742
1568081171.630,-581.543,29.297,32.227,61.035,-48.340
1568081171.634,-591.309,25.879,33.691,29.785,-24.902
1568081171.638,-600.098,26.367,32.715,4.883,39.062
1568081171.642,-637.207,29.785,31.738,30.273,41.992
1568081171.646,-679.688,33.691,24.902,62.012,30.762
1568081171.650,-693.359,32.715,18.555,45.410,54.688
1568081171.653,-679.688,27.832,19.043,11.719,88.379
1568081171.657,-695.801,28.809,26.855,23.926,25.391
1568081171.661,-748.535,27.832,35.156,59.082,24.902
1568081171.665,-778.809,25.391,36.133,62.500,11.719
1568081171.669,-768.066,22.461,28.809,20.020,-37.109
1568081171.673,-744.629,22.949,30.273,10.742,-0.488
1568081171.677,-739.746,26.855,35.156,54.199,1.465
1568081171.681,-718.750,27.832,31.250,70.312,43.457
1568081171.685,-665.527,26.367,25.391,33.203,56.152
1568081171.689,-626.953,27.832,25.879,9.277,30.762
1568081171.692,-612.793,26.855,30.273,43.945,87.402
1568081171.696,-599.609,25.391,31.738,69.336,89.355
1568081171.700,-574.219,26.855,28.320,31.250,36.621
1568081171.704,-558.105,23.926,27.832,-3.906,24.414
1568081171.708,-569.824,21.484,28.320,16.602,51.758
1568081171.712,-583.984,25.879,25.879,44.434,44.434
1568081171.716,-578.125,27.832,29.297,32.227,31.250
1568081171.720,-547.852,26.367,25.391,-7.324,20.020
1568081171.724,-537.598,29.297,17.578,-1.953,11.719
1568081171.728,-571.777,28.320,23.438,42.969,46.875
1568081171.732,-570.801,22.949,24.902,52.246,15.137
1568081171.735,-534.180,21.973,20.508,13.184,-6.348
1568081171.739,-558.105,27.344,22.461,3.418,16.113
1568081171.743,-639.160,26.367,23.926,36.621,-6.836
1568081171.747,-691.406,20.020,29.785,53.711,-10.742
1568081171.751,-692.871,21.973,29.297,21.973,44.922
1568081171.755,-696.289,20.020,20.996,-4.395,46.875
1568081171.759,-718.262,19.043,25.391,28.320,2.441
1568081171.763,-734.863,20.020,28.809,62.012,5.859
1568081171.767,-739.258,13.184,25.879,37.109,-0.977
1568081171.771,-746.094,13.672,28.809,7.324,-68.359
1568081171.775,-786.133,23.438,27.832,26.367,-18.555
1568081171.778,-831.055,26.367,26.855,61.523,83.984
1568081171.782,-842.285,22.949,25.879,55.176,66.895
1568081171.786,-832.520,23.438,22.949,15.137,17.578
1568081171.790,-850.586,22.461,30.273,6.836,5.371
1568081171.794,-891.113,23.438,29.785,37.109,24.414
1568081171.798,-901.855,25.879,27.344,48.828,26.367
1568081171.802,-895.020,21.973,27.832,8.789,17.090
1568081171.806,-883.789,19.043,22.461,-5.371,-5.859
1568081171.810,-888.672,22.949,21.484,35.645,31.250
1568081171.814,-893.066,28.809,23.438,61.035,62.500
1568081171.817,-860.352,20.508,23.438,27.344,47.852
1568081171.821,-832.031,13.672,20.020,-2.441,76.172
1568081171.825,-847.656,20.996,23.438,28.320,21.484
1568081171.829,-883.301,20.996,30.273,63.477,-19.531
1568081171.833,-896.484,16.113,25.879,38.086,53.711
1568081171.837,-894.531,18.555,22.949,-7.324,69.336
1568081171.841,-909.180,26.367,31.250,9.766,66.895
1568081171.845,-911.621,28.809,30.273,51.270,42.969
1568081171.849,-886.719,26.855,19.043,48.340,2.441
1568081171.853,-856.934,18.555,19.531,4.883,-11.719
1568081171.857,-839.355,16.113,26.367,-0.977,2.930
1568081171.860,-842.285,18.555,30.762,45.898,14.160
1568081171.864,-828.125,15.625,30.762,58.105,-7.324
1568081171.868,-765.625,16.602,29.785,18.555,25.879
1568081171.872,-713.379,20.508,29.785,3.906,45.410
1568081171.876,-703.125,21.973,25.879,38.574,46.387
1568081171.880,-692.871,25.879,23.926,62.012,41.504
1568081171.884,-651.367,27.344,29.785,29.785,44.434
1568081171.888,-603.027,23.438,30.273,-2.441,28.809
1568081171.892,-591.309,25.391,26.855,18.066,-2.930
1568081171.896,-589.844,29.297,31.250,52.246,57.617
1568081171.900,-563.965,27.344,36.621,40.527,93.262
1568081171.903,-529.785,26.855,34.180,0.000,29.297
1568081171.907,-518.066,25.391,29.297,5.371,0.000
1568081171.911,-515.625,18.555,34.180,48.340,18.555
1568081171.915,-487.305,24.414,36.621,55.664,23.926
1568081171.919,-446.289,31.738,31.250,20.508,4.883
1568081171.923,-424.316,31.250,29.785,12.207,55.664
1568081171.927,-429.199,31.738,27.832,47.363,64.453
1568081171.931,-433.105,28.809,24.414,62.500,54.688
1568081171.935,-410.645,27.344,24.414,23.926,46.387
1568081171.939,-393.066,31.738,32.227,3.906,34.180
1568081171.942,-409.668,34.180,43.945,40.527,38.086
1568081171.946,-433.105,29.785,42.969,61.523,-6.836
1568081171.950,-426.758,28.320,34.668,28.809,17.090
1568081171.954,-405.273,29.785,32.227,0.000,13.672
1568081171.958,-415.039,29.297,33.691,23.438,29.297
1568081171.962,-439.941,28.320,32.227,60.059,74.707
